experiment,n_params,test_r2,test_rmse,test_mae,test_auc,epochs_trained,best_val_r2,best_alpha,base_model,base_model_r2,har_rv_r2
phase14_baseline,567431.0,0.9212166666984558,0.05632660910487175,0.033799782395362854,0.5906700659936185,26.0,0.9212166666984558,,,,
learned_har_weighting,567434.0,0.9263792768516586,0.054449814629651934,0.032428496413087045,0.5993627500311196,54.0,0.9284700532108616,,,,
forward_vol_target,567431.0,0.8271833588099646,0.08343499668474627,0.04804735974437052,0.5926363422963639,26.0,0.8359364536579761,,,,
enhanced_model,1090346.0,0.9240371396136468,0.05530915467616645,0.032528758079326314,0.5876576323297761,39.0,0.9282136371167843,,,,
ensemble_model_har_rv,,0.9072273378567072,,,,,,0.7,learned_har_weighting,0.9263792768516586,0.7090109991964848
deeper_vol_head,635271.0,0.9314897536329506,0.05252597597399509,0.0311131356944458,0.5925387228644146,47.0,0.9345208605371301,,,,
